generation,id,fitness
7,31630086-e655-433f-bffe-69048c10fd34,-inf
7,05cc27e3-01a3-416f-83fd-89f503dab6a2,-inf
7,5c9ad1a5-6c41-4e2c-98f7-9faa5d74886d,-0.05063801562046624
7,76b16121-d57e-4086-af08-389b0671b0d3,-0.02081656165845158
7,8866c57d-38ba-48c7-b30f-529568b0ee43,-0.02684411266884743
7,71c5bab9-3c83-46b3-9e6a-1cc9ba3d696c,-0.05919285421821447
7,5953bc4f-6463-4620-913e-6c47b95e6379,-inf
7,f50fd6b7-9859-4438-896b-ffcd3e42938f,-0.04816549531817245
7,62cbe9ba-680a-4c9a-90ca-32aab62a13ad,-inf
7,f5a22c8f-a3c2-423b-bb25-c81b7e760237,-inf
8,3b74c908-1f03-47f4-9f07-4e527b7c0356,-inf
8,2852a966-75d6-4c7c-b60b-9e89724dd285,-0.058120886781380936
8,178987fb-17ad-4b8e-9a23-c59ee7ac07df,-0.028375337145889874
8,63634cfc-060c-43bc-8243-395cf35b4a2b,-0.01613236777638335
8,9dc228de-5a29-4443-9e32-7df733e6b1c3,-0.02788383959400641
8,b12e2b33-3a86-4850-9ee3-11ee9fa490cc,-0.0178134754488446
8,f36f4ceb-3994-47f4-9be2-5589fda8a0ca,-0.058512650421608414
8,e418366b-ca18-4288-b691-14a78cb7c2ee,-0.03206415124625205
8,bf20cc2e-fff3-4417-9429-c7994990d5f6,-inf
8,946af1d6-bcf9-4147-aeb8-83d3b30bfcba,-0.04828000174049246
8,35a9a339-aac3-4cb1-b28c-df52f43eae3b,-inf
8,7146949b-14b4-4281-ba09-25a1f3c00ecd,-0.029512133505704682
9,5a706116-dcf7-4670-bcf6-23bb1c8901a6,-0.024077535001024702
9,a9a4095b-a7b8-4d8d-a481-75971f5ac2ed,-0.04262243849893049
9,0a10ce3c-27d6-488a-8bf5-c1451d9dfa4a,-0.014530404728531645
9,df372a7e-b011-4e96-8d35-6f2f23ad837a,-0.047134176811665596
9,ba15325c-a5c1-4624-bbe2-f48181404eed,-0.07688281751570436
9,32468228-0db4-4a78-bfed-5785a4b8137c,-0.009448764658175112
9,f0d369c0-2873-4388-beb1-d7d2d6108c25,-0.024416164692213402
9,8f19c40d-9015-484f-a231-ef7a010861b1,-inf
9,37dc1f25-b1ec-42ae-8eef-b79bc963fb72,-inf
9,c40d191f-660f-4d35-a83b-8863109fe7cf,-0.03944212891788686
9,68f898d6-99c1-4aee-9c7d-af501dd2caf0,-0.02048356511711029
9,25b2c9e2-b608-4066-b31c-5fddd43c9579,-0.10914673668729302
10,3abde47c-d8cc-41da-8489-44a3c4c109ca,-0.35972015956002323
10,c61069de-55c0-4f5f-bd98-289d956804ff,-0.04394382329514499
10,8a3f87ee-91c3-4096-8ec2-4f7dba3370f5,-inf
10,8548c5f3-23f7-47ba-99d9-8a875e105337,-0.033284400153119675
10,be888d34-6890-460d-a670-25e4d2cc07a9,-0.02839982572320597
10,448f9e78-47db-46ef-a24f-8939037144ba,-inf
