% # columns="iteration, evaluation, void, void, void, xmean", seed=140537, Thu Apr  2 03:35:09 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 12 0 0 0 -0.009013630411188321 0.23312700477356751 -0.143453179044481 0.035486917908813254 0.0626292691232078 -0.11288361845199671 0.016823726553520553 -0.06997939241207458 0.0010357810638036632 -0.06610567848652966 0.2751206459200348 -0.2576087379681921 -0.02221427268044755 0.20315440994956516 -0.32235074791757895 0.06614693723039414 0.015060148656502036 0.05401651471019166
2 24 0 0 0 -0.21416219497422723 0.11417246337268455 -0.029704197606763752 0.06990440605711355 -0.19719475469599274 -0.5273723007850276 -0.0007174244571340055 -0.10021799487850697 0.17073026878100664 0.05722185807879182 0.23430054776317433 -0.14905878252765536 0.22678044411176268 0.19343613368403217 -0.5675589586032607 0.1599240861929716 0.1225110074580114 0.02828787018000123
3 36 0 0 0 -0.19531471602888498 0.10326747771531675 -0.07882980845698041 0.12256018553029768 -0.2870055217788531 -0.3643344974064926 -0.04203561322269217 -0.01092324087351923 0.2533692908854233 -0.075414114711288 0.3877240266669878 -0.08875071409483476 0.12517908060243393 -0.21884692066052908 -0.582583969015409 0.1269773105367342 0.32391461309103114 0.047970897517443524
4 48 0 0 0 0.009500161608781171 -0.033092328541718945 0.12268104120144792 0.14089163606408361 -0.3583376443978949 -0.4260538416330285 -0.12121497294424154 -0.10840324823116285 0.1502567178724425 -0.24115455937828773 0.46850145151276135 -0.009101850840384534 -0.022412291332799684 -0.3360118901295158 -0.7474854511173767 0.2899561185100519 0.2548325804442463 -0.05747306720864456
5 60 0 0 0 -0.1020224387110383 0.019221099741096953 0.16812836054791952 0.2677650970999124 -0.342421148126048 -0.554993351893876 -0.1580179987631517 -0.14888177608543943 0.2628319559183694 -0.32263403046034705 0.5173623924932043 0.1411357686016245 -0.17693718269270425 -0.2709335091006843 -0.7541511988433099 0.39960148418719743 0.28212776087716374 -0.12408019888936271
6 72 0 0 0 0.06059462418023639 -0.141161010199091 0.22311242988611035 0.25982158644749476 -0.31465966192378725 -0.7675008971628374 -0.055567197413263304 -0.07127309656751343 0.25532658742016195 -0.15306397417899703 0.6133602685267312 0.1428863840387696 -0.3538539107992832 -0.25888898681793854 -0.7991499777644275 0.2889654469531933 0.2528977382429334 -0.1567136391830739
7 84 0 0 0 -0.15674521593623325 -0.15456922612604548 0.32364212283991056 0.257529871973202 -0.32966705172504196 -0.6131005407976544 -0.187026863764355 -0.1807857819339282 0.3280159636349373 -0.10819927959364212 0.4780332095127169 0.318838447102077 -0.43989001446108944 -0.37399111345756064 -0.9415889202155057 0.22589152790079942 0.5595240759640244 -0.14472449789566713
8 96 0 0 0 -0.33647916944932565 -0.31178413511053005 0.263188637147135 0.27185779300381924 -0.4262966953173528 -0.6391464823173818 -0.1737774882692681 -0.23160744751675594 0.4737321513660321 -0.21251158366071912 0.4185549942121952 0.42096341570495854 -0.3970314388340545 -0.41788304177486013 -1.0663817646623162 0.19901464935350432 0.5939574092325989 -0.36268902018206745
9 108 0 0 0 -0.2555029012544131 -0.6371064901734571 0.17656637830775274 0.4540184144688648 -0.6309215712248153 -0.5402306061220628 -0.1494141867793048 -0.1847560791382304 0.47220255525927013 -0.21383998850714467 0.3974329593356001 0.45999491818602045 -0.43316929624664 -0.32698326659385113 -1.0362830736308128 0.18212074437688208 0.49892340886475106 -0.23740740432339086
10 120 0 0 0 -0.13954055044906288 -0.6389040782656534 0.18754518568533812 0.5820380767008427 -0.8039059436896858 -0.570903470693148 -0.25952120494052916 -0.2651211536083397 0.5139581788936831 -0.45769490015689385 0.4651532413775421 0.5295283152547442 -0.4754031052215595 -0.11422326016109664 -0.9443930608415783 0.19398067565963129 0.5065672010095865 -0.27367160043053085
11 132 0 0 0 -0.06833592509420307 -0.8265242531979258 0.076009216517493 0.7831184328996805 -0.8664133749977194 -0.6111055891591011 -0.41187949872692636 -0.37150002847065455 0.48283476538667547 -0.3413929172627391 0.5023031581397316 0.5320152907264449 -0.681562002768602 0.17497897243558444 -0.7271585514083486 0.10702654043102316 0.45802559803600507 -0.18313192687098218
12 144 0 0 0 0.18858081036083135 -0.7361678847655615 0.031173641465645694 0.9632214595496345 -0.6654031109013112 -0.5005649577897737 -0.23000584134838437 -0.275709145650812 0.6064540919738097 -0.2155063745783859 0.5539161772758678 0.7031900929957249 -1.0243452020485107 0.29521264867214336 -0.6225949160247217 0.02578002259267602 0.4201275259911886 -0.04334341972810404
13 156 0 0 0 0.16262440380530255 -0.46650684029711087 0.04503919444012868 1.0025910434184462 -0.8989768518396332 -0.48894372168804423 -0.38901097036982146 -0.48837344312802955 0.8599429984138607 -0.3547666245578025 0.3169930828399189 0.6921815937332118 -0.8707365414594075 0.507861403985577 -0.7296441889345129 0.1805649384062759 0.1336476364197413 0.05589028966710213
14 168 0 0 0 -0.022479028082486845 -0.5803283275876107 -0.14150393260098565 1.3569674307720767 -0.9313665288711444 -0.8485444181837889 -0.41217798004029993 -0.6871330851901187 0.8887201707892682 -0.4618545655279157 0.5529107524280842 0.744475196919359 -0.9870953210223572 0.4936385468691562 -0.8056688638264424 0.26568552057944433 0.3800308731127844 -0.27527207396754017
